name,brand,slug,unit,sku,unit_price
Chiffon spaghetti dress long true blue,Ivy & Oak,chiffon-spaghetti-dress-long-true-blue,pcs,Ch-971-Iv,199
Chiffon spaghetti dress long yellow,Ivy & Oak,chiffon-spaghetti-dress-long-yellow,pcs,Ch-671-Iv,169
Long bridal lace dress snow white,Ivy & Oak,long-bridal-lace-dress-snow-white,pcs,Lo-682-Iv,289
Ankle length valance dress horizon blue,Ivy & Oak,ankle-length-valance-dress-horizon-blue,pcs,An-143-Iv,199
Smocked detail dress maxi aop millefleurs - black,Ivy & Oak,smocked-detail-dress-maxi-aop-millefleurs-black,pcs,Sm-940-Iv,229
Fine longsleeve knit dark sierra,Ivy & Oak,fine-longsleeve-knit-dark-sierra,pcs,Fi-446-Iv,99
Chiffon midi dress yellow,Ivy & Oak,chiffon-midi-dress-yellow,pcs,Ch-950-Iv,179
Graphic lace skirt dahlia purple,Ivy & Oak,graphic-lace-skirt-dahlia-purple,pcs,Gr-427-Iv,149
Printed jumpsuit pale citrus,Ivy & Oak,printed-jumpsuit-pale-citrus,pcs,Pr-591-Iv,189
Fine longsleeve knit dark olive,Ivy & Oak,fine-longsleeve-knit-dark-olive,pcs,Fi-425-Iv,99
Occasion skirt with belt mandarin red,Ivy & Oak,occasion-skirt-with-belt-mandarin-red,pcs,Oc-572-Iv,189
Long printed dress serenity blue,Ivy & Oak,long-printed-dress-serenity-blue,pcs,Lo-783-Iv,229
Knit skirt midi dark olive,Ivy & Oak,knit-skirt-midi-dark-olive,pcs,Kn-806-Iv,149
Open back dress mini sierra,Ivy & Oak,open-back-dress-mini-sierra,pcs,Op-275-Iv,189
Open back dress mini indigo,Ivy & Oak,open-back-dress-mini-indigo,pcs,Op-513-Iv,189
Dress with pleated waistband midi aop millefleurs - black,Ivy & Oak,dress-with-pleated-waistband-midi-aop-millefleurs-black,pcs,Dr-322-Iv,189
Puffy dress midi aop - porcelain black,Ivy & Oak,puffy-dress-midi-aop-porcelain-black,pcs,Pu-722-Iv,199
Knit skirt midi dark sierra,Ivy & Oak,knit-skirt-midi-dark-sierra,pcs,Kn-718-Iv,139
Open back dress midi indigo,Ivy & Oak,open-back-dress-midi-indigo,pcs,Op-262-Iv,229
Puffy skirt long aop - porcelain black,Ivy & Oak,puffy-skirt-long-aop-porcelain-black,pcs,Pu-232-Iv,169
Ruffle blouse rose cloud,Ivy & Oak,ruffle-blouse-rose-cloud,pcs,Ru-579-Iv,99
Chiffon midi dress true blue,Ivy & Oak,chiffon-midi-dress-true-blue,pcs,Ch-200-Iv,229
Dress mini aop - fine flower blush,Ivy & Oak,dress-mini-aop-fine-flower-blush,pcs,Dr-513-Iv,179
Puffy skirt long aop - porcelain eden green,Ivy & Oak,puffy-skirt-long-aop-porcelain-eden-green,pcs,Pu-450-Iv,169
Puffy dress midi aop - porcelain eden green,Ivy & Oak,puffy-dress-midi-aop-porcelain-eden-green,pcs,Pu-275-Iv,199
Paspel blouse aop millefleurs - black,Ivy & Oak,paspel-blouse-aop-millefleurs-black,pcs,Pa-864-Iv,99
Occasion skirt with belt bottle green,Ivy & Oak,occasion-skirt-with-belt-bottle-green,pcs,Oc-511-Iv,189
Open back dress midi bottle green,Ivy & Oak,open-back-dress-midi-bottle-green,pcs,Op-624-Iv,229
Valance dress midi navy blue,Ivy & Oak,valance-dress-midi-navy-blue,pcs,Va-496-Iv,199
Graphic lace top dahlia purple,Ivy & Oak,graphic-lace-top-dahlia-purple,pcs,Gr-260-Iv,79
Maternity smock blouse horizon blue,Ivy & Oak,maternity-smock-blouse-horizon-blue,pcs,Ma-542-Iv,99
Bridal midi skirt snow white,Ivy & Oak,bridal-midi-skirt-snow-white,pcs,Br-214-Iv,179
Ankle length valance skirt horizon blue,Ivy & Oak,ankle-length-valance-skirt-horizon-blue,pcs,An-635-Iv,169
Dress mini aop - fine flower sunglow,Ivy & Oak,dress-mini-aop-fine-flower-sunglow,pcs,Dr-184-Iv,179
Midi wrap dress bright white stripes,Ivy & Oak,midi-wrap-dress-bright-white-stripes,pcs,Mi-988-Iv,159
Chiffon midi dress lovers red,Ivy & Oak,chiffon-midi-dress-lovers-red,pcs,Ch-119-Iv,179
Graphic lace skirt snow white,Ivy & Oak,graphic-lace-skirt-snow-white,pcs,Gr-275-Iv,149
Check dress volants midi true blue check,Ivy & Oak,check-dress-volants-midi-true-blue-check,pcs,Ch-832-Iv,229
Check skirt midi true blue check,Ivy & Oak,check-skirt-midi-true-blue-check,pcs,Ch-705-Iv,179
Knit pants navy blue,Ivy & Oak,knit-pants-navy-blue,pcs,Kn-665-Iv,119
Bridal stripe skirt maxi snow white,Ivy & Oak,bridal-stripe-skirt-maxi-snow-white,pcs,Br-542-Iv,169
Midi wrap dress iris leaf stripes,Ivy & Oak,midi-wrap-dress-iris-leaf-stripes,pcs,Mi-740-Iv,159
Dress mini honey,Ivy & Oak,dress-mini-honey,pcs,Dr-543-Iv,149
Dress mini black,Ivy & Oak,dress-mini-black,pcs,Dr-446-Iv,149
Maxi shirt dress bright white stripes,Ivy & Oak,maxi-shirt-dress-bright-white-stripes,pcs,Ma-907-Iv,189
Maxi shirt dress iris leaf stripes,Ivy & Oak,maxi-shirt-dress-iris-leaf-stripes,pcs,Ma-329-Iv,189
Knit pants camel,Ivy & Oak,knit-pants-camel,pcs,Kn-826-Iv,119
